N_data,RMSE_mean,RMSE_min
100,0.002533333333333333,0.0013
200,0.0006956866666666667,0.00019241
300,0.0005441066666666666,0.00011191
400,0.00023402933333333334,8.2248e-05
500,0.00015505,8.821e-05
600,0.00016413666666666667,0.00011388
700,0.00014353833333333334,8.7805e-05
800,9.0178e-05,5.6835e-05
900,9.381999999999999e-05,5.754e-05
1000,8.150466666666667e-05,8.0604e-05
1100,0.00012094099999999999,7.4299e-05
1200,8.787533333333333e-05,7.0009e-05
1300,0.00010005333333333332,5.5696e-05
1400,5.993066666666667e-05,4.617e-05
1500,8.384e-05,5.9466e-05
1600,0.00011128366666666665,5.6894e-05
1700,9.0208e-05,4.4924e-05
1800,4.778666666666667e-05,4.1056e-05
1900,6.972066666666666e-05,6.3072e-05
2000,6.6988e-05,3.8974e-05
